ID,Title,Price_Location,Body_Text
36,Female Contract at Cinnamon Tree,$200 ·,"Hello!!
I am selling my women shared contract at Cinnamon Tree Apartments. May rent already paid for and rent is only 200 month. Contract goes until middle of August, with the option to renew for the fall. You can move in anytime in May or later!
- Super close walk to Campus...
See More"
37,4 beds · 2 bath · House,$300 / Month,"I love this place! I’m very sad to be going but grad school calls. 4 private rooms in the house. Right now only three are being rented, so only two other roommates. Big kitchen and dinning room, 3 parking stalls and plenty of street parking.
• private room
• laundry in the house! (My favorite thing!)
• shared bathroom (with one roomie) ...




See More"
38,1 bed · 2 bath · Apartment,$245 / Month,"1 Bed 2 Baths - Apartment
580 N 100 E, Provo, UT 84606-1701, United States"
39,Female private room in South Provo,"$290 · Provo, UT","Female private room in a house. $300 (Now-Aug, SUMMER ONLY) MAY RENT AND UTILITIES WERE PAID. Move in now!!
•Close to Joaquin park, 6mins walk to UVX, 10 min walk to the LSB. Close to Smith.
Super close to BYU South Campus. Never worry about parking place....
See More"
40,5 beds · 2 bath · House,$275 / Month,"Selling a women’s contract for a semi-private room in the CUTEST blue house in South Provo! Shared walk-in closet with one other girl, shared bathroom with two other girls. Driveway parking, washer and dryer in house, spacious living room area, super chill and fun roommates! Rent is $275 a month plus utilities (which run between $40-60 a month), but I’m willing to negotiate if price is an issue. Move-in date would ideally be beginning of July, but that’s also flexible if anyone needs to move in earlier or later. Contract ends August 15 with option to renew. PM me if interested!"
41,3 bedroom 2 bathroom Vineyard Condo available June 11th,"$1,500 · Provo, UT","Beautiful 3 bedroom 2 bathroom condo available in Vineyard's WatersEdge community.
Available: June 11, 2020, - 12 month contract
Rent: $1,500
Deposit $1,500...
























See More"
42,2 bedroom 1 bathroom apartment Available June 1,"$825 · Provo, UT","393 North 600 East # 5 Provo
2 bedroom 1 bathroom
770 square feet approx....



See More"
43,Discounted Private Room $200,"$200 · Orem, UT","Normally $375 per month, discounted to $200 per month. Available immediately for S/S only! Private room, washer/dryer in unit, free parking, new furniture and paint. 1/2 block from UVX bus stop. Baywood Condos in Provo, BYU approved housing. Leave a message."
44,4 beds · 2 bath · Apartment,$275 / Month,"Private Room For Rent
Provo, Utah"
45,Orem Private Basement Room,"$450 · Orem, UT","Private Basement Room (Male housing) available in a newly remodeled home. The room can be furnished for an extra fee. The home is at the heart of Orem. Easy access to freeway and grocery stores. Only 7 mins from UVU and 11 mins from BYU. Home has plenty of storage (detached Garage, shed, utility room)
Rent: $450 including all utilities
Month - to - month contract available"
46,ISO 2 discounted womens college place or village spring/summer,"FREE · Provo, UT",
47,4 beds · 3 bath · House,$450 / Month,"Looking for roommates for a super cute BRAND NEW townhouse located in American Fork! Two private rooms are available for rent 450 (shared bath) and 550 (private bath & garage parking). Looking for female young professionals. Can move in as soon as June 1st.
This townhome includes:
4 - Bedrooms
3 - full bath
5-minute walk to AF Front Runner Station...






See More"
48,ALPINE VILLAGE WOMENS HALF PRICE,"$265 · Orem, UT","Selling a women’s private room contract at Alpine Village! I’ll pay HALF your rent through the end of the contract ending July 31, 2020. You’ll be able to renew it if you want"
49,Room,"$150 · Provo, UT",Sublease a shared women's room at Southridge Apartments (a 2 minute walk from campus!) for $150 a month. Lease ends August 15th with option to renew
50,Discounted room at Blueridge Women's Housing May- August,"$225 · Provo, UT","Rent is normally $325 plus utilities, but I will pay so that you have $100 OFF June & July and $50 OFF August. I will also pay for the month of May
Washer and Dryer in Unit
Onsite parking...
See More"
51,Fall Apartment for group of Roommates,"$324 · Provo, UT","Spots are filling up fast! Come find a place for you and your roommates here at Raintree! Pool, Hot Tub, Club house, super social apartment complex with a great location. Message me with any questions!!
Raintreeapt.com"
52,Shared Master Bedroom,"$387 · Orem, UT","My roommate and I are looking for two other guys to share the master bedroom at our awesome apartment!
Parkway lofts is awesome, the ward is super close by and full of awesome people!
BOTH spots are available so you can bring a friend 👌🏼
Rent is about $380 ...



















See More"
53,House Basement Rental,"$1,450 · Orem, UT","2 Bed, 1 Bath, 1 Kitchen, Bonus Room, Large Storage Room, and more!
ALL UTILITIES INCLUDED, GIG FIBER INTERNET & WiFi INCLUDED
Come and See this place!...
See More"
54,3 Bed 2.5 Bath Brand New House in South Provo - AVAILABLE NOW,"$1,600 · Pleasanton, CA","3 bed 2.5 bath brand new house in South Provo. Contract goes through end of September (w/ option to renew). Originally goes for $1,700 a month, but discounting it to $1,600 a month (utilities/internet are an additional $75-100 per month). Pets aren't allowed (with exception of ESA animals). In unit washer & dryer, garage packing, gym & pool access. Message me for details!!
https://www.trulia.com/…/767-aspen-cir-provo-ut-84606--2416…"
55,Selling my contract at College Place! Really nice single room south of campus! Available ASAP,"$410 · Provo, UT","Single room
3 bath
5 roommates
Hot tub & gym included
5 min walk to campus"
56,ISO,"$300 · Provo, UT",Does anyone know if places that have contracts under a year? Also in the 200-350 price range? Doesn’t have to be approve housing! It’s also for fall.
57,Renewed Spring/Summer Liberty Square Contract,"$400 · Provo, UT","$200 INCENTIVE!!
I am selling my Liberty Square contract and it is available immediately! It includes a fall renewal and a $200 incentive. The ward is incredible and I even met my wife there:) I have loved Liberty Square and the people that I met. Its location to campus is great, it has a very social environment, and the amenities are so fun!
Send me a message if you are interested!"
58,Centennial Apartment spring/summer,"$139 · Provo, UT","Hey guys! I’m trying to sell my contract at Centennial. It’s just south of BYU campus and super social. I’ve loved living there! May rent is already paid for so you’ll just have to pay June-August. June and July rent will be $139 each (plus utilities, usually about $15) and August rent is only $70! Let me know if you’re interested!"
59,Women single room contract,"$330 · Orem, UT","Selling a contract at Riverside condo. Available ASAP!
-Private room
- $330/month. ...
See More"
60,4 beds · 2 bath · Apartment,$469 / Month,"Are you looking for a girls PRIVATE room with a QUEEN SIZED BED???
MAY IS FREE!!!!! MOVE IN ASAP!!!!
Look no further!! The Branbury is the place for you! They have many amenities, such as:
Basketball Court
Business Center ...



























See More"
61,Men's Shared room on Condo Row - avail now,"$200 · Provo, UT",I have a shared room available very close to BYU on Condo row. Fun place to live. Attached bath that you only have to share with your roommate. Washer and dryer in condo along with dishwasher. Plenty of parking during the summertime. Nice updated condo with new paint. Two chill roommates. Tenants split gas and electric which average about $25/month. $300 deposit. Message me with any questions or to see it. It is available now through August.
62,Liberty square contract,"$375 · Provo, UT","I am selling my contract at Liberty Square for $375! It’s a great location, close to BYU and the UVX bus line with a fun environment, great ward, and a lot of social activities!
I can sell my contract from August 2020-August 2021 or from now till August 2021.
Message me for details!:)"
63,3 beds · 1 bath · House,"$1,600 / Month","AVAILABLE JUNE 1ST
Newly renovated three bedroom/one bathroom basement apartment. Includes all kitchen appliances and washer/dryer. Text Cayleen Haynie for further inquiries (949) 285-6319"
64,2 beds · 1 bath · Apartment,"$1,285 / Month","READY NOW!
NEWLY RENOVATED WITH NEW APPLIANCES
-May is only $99 and if you sign a 12, 15, or 18 month lease then your rent for June will only be $599. Rent will be $1285 after that
-NO APPLICATION FEE IF YOU APPLY BY 5/15
-Tenant is responsible for gas and electric ...



See More"
65,Shared room in a house,"$375 · Orem, UT","AVAILABLE ASAP! Selling my shared room in a cute basement house!!! Seriously it doesn’t even feel like you’re sharing a room because you have your own side and your own closet. This place is a STEAL!
-$375 (this includes utilities)
-Bedroom & living room comes furnished (bed, dresser, couches, TV)
-Across from University Mall and University Vasa ...


See More"
66,2 beds · 1 bath · Apartment/Condo,$350 / Month,"FALL CONTRACT - BYU APPROVED - STUDENT HOUSING
Great place to live with amazing wards! There is a pool and hot tub, 24HR Laundry, and lounge.
The apartment comes with Smart TV, fully furnished, and tons of storage. Rent is $350 with a flat rate $50....
See More"
67,PRIVATE ROOM *DISCOUNTED* women’s College Place Provo,"$300 · Provo, UT","Contract is for May through August, but renewable for the fall. Available immediately!"
68,Huge Women’s Private Room,"$380 · Provo, UT","Woman’s Private Room $380 a month year round
I am selling contract for a huge private room in a townhome in Provo. It’s been recently remodeled. The roommates are very sweet and the ward is amazing.
-Washer and dryer in the home
-Huge closet...




See More"
69,Alpine Village,"$400 · Provo, UT","🚨🚨🚨DISCOUNTED RENT🚨🚨🚨
Hi! I am selling my contract at Alpine Village
May rent is free!!!...








See More"
70,Two Contracts at Raintree Commons!!,"$330 · Randolph, UT","Me and my roommate are both selling our contracts at Raintree Commons! If you’ve always wanted to live with your friend then here’s your chance!
- Available to move in ASAP!
- Only $330 a month
- Contract ends in August but is available for renewal
DM me if you’re interested!!"
71,Men's Private Room Jun-Aug + Renewable,"$460 · Provo, UT","Men's Private Room located at The Avenues
Available June 1st, with the option to renew the contract in August.
Rent is 460$ per month and you pay for Utilities which usually ends up being 25-30$....
See More"
72,*** MOVE IN TODAY *** MAY- AUGUST WOMEN'S CONTRACT,"$400 · Provo, UT","*move in ready today!
Liberty on Eighth (745 N 100 E)
$400 per month...

See More"
73,3 beds · 2 bath · Townhouse,"$1,275 / Month","Great as married housing or to split rent with 1 friend and have the whole place to yourself! The townhome complex is half married housing, half BYU approved for two.
Available ASAP!!
LEASE TO OWN option possibility!! Fantastic option for those looking to keep the townhome for a while!!...
See More"
74,"Fully Furnished, Newly Renovated Provo Apartment *All Utilities Included in Listed Price*","$1,295 · Provo, UT","LISTED PRICE INCLUDES: Utilities, Wi-Fi, Internet, and cable. Fully furnished basement apartment in Provo located just east of the Riverwoods, in the Edgemont neighborhood. Available starting the beginning of June. Fully renovated in August 2018. One bed, one bath, approximately 750 sq ft. Huge smart TV, washer and dryer in apartment, refrigerator/freezer, dishwasher, stove, oven, microwave, walk-in pantry, and inside storage space. Central heating and cooling with personal controls. Private entry. Driveway parking. Access to front and back yard. No pets, no smoking. 12-month lease, option to renew. $600 deposit fee."
75,Women's Shared Room- Summer only,"$250 · Provo, UT","I'm getting marred this summer and I need to sell my summer contract. It's a super cute apartment with great roommates! Available to move in as early as June 20th (or possibly earlier)
Rent is usually $345, but I am offering it at $250!
-3 people in the apartment
-2 blocks south of BYU campus...




See More"
76,ALPINE VILLAGE PRIVATE ROOM,"$299 · Provo, UT","Hey I'm selling my men's contract at Alpine Village for the 2020 Spring and Summer terms. HUGE DISCOUNT! MAY ALREADY PAID FOR. It lasts from NOW-August 16th with the option to renew for the next year. Shoot me a text if you're interested!
(209) 618-7055
Amenities include:
24-Hour Fitness Gym
Basketball Court...



























See More"
77,ISO Female Private Room,"$500 · Orem, UT",iso private room starting in the fall in orem. no more than $500 a month. easy freeway access and in unit washer and dryer are a plus.
78,1 bed · 2 bath · Apartment,$300 / Month,"Price Negotiable, just give me an offer. The lease ends in August but can be renewed. One block away from BYU campus and UVX stop. Comes with undercover parking spot. Washer and dryer in apartment. Big room and I am the only one in it at the moment. BYU Men's contracted housing. Send me a message if you would like more details."
79,Women's Contract for sale at Centennial - DISCOUNTED,"$210 · Provo, UT","***DISCOUNT! $100 OFF RENT***
Women's contract at remodeled Centennial Apartment! Rent is usually $310, but I'm dropping it to $210!! PLUS May is already paid for!
-Right next to the Provo VASA, Grifols, and King Henry. The BYU shuttle stops right next to the complex to take you straight to BYU campus!...
See More"
80,2 womens contracts,"$250 · Provo, UT","!!!!!PRICE DROP!!!!!
****MAY IS PAID FOR****
2 women's contracts for spring/summer with the option to renew in the fall!! My roommate and I are both selling our contracts! $279/month utilities and internet included and the price is the same for the fall!! Dm me for more pictures or if you have questions!😊 ...
See More"
81,Men's Private Room,"$499 · Orem, UT","Men's Private bedroom furnished with queen bed.
Designated parking spot
367 E 760 N Orem UT 84057...
See More"
82,Private room for single male student (1st month free),"$380 · Provo, UT","Condo is walking distance to BYU campus in Provo. The first month of the summer is free (June for example). For July and August, rent is $380+$35 for rent+utilities. Contract can be extended to include the following school year, however rent+utilities will increase to $390+$45 beginning in September. More information about the condo can be found at tg108.weebly.com"
83,4 beds · 3 bath · Townhouse,$465 / Month,"Selling my FALL contract (August 2020 - August 2021) at Mountain Vista townhomes. It's one of the nicest and most convenient places to live in Provo, especially as a student.
-female private room & bathroom
-washer and dryer in unit
-4 minute walk to BYU shuttle ...


See More"
84,Shared Women's Contract in Campus Plaza for Spring/Summer,"$135 · Provo, UT","This has been a great place to live. The community is really nice, it is very affordable, and it is so close to BYU campus you can walk across the street and you are at the Life Science Building. The rooms are 4-6 people, so it can get a little crowded, but I had no problem with it. Everyone is really nice and considerate. laundry
There is a pool, a basketball/volleyball court, a green space, grills, laundry, and all the regular utilities and appliances.
Rent is $135 and I ...
See More"
85,Women's Spring/Summer Contract at Old Mill 327!,"$299 · Provo, UT","BYU Contracted FEMALE Housing. UVU and other students are welcome but BYU rules and standards apply. Easy access to both BYU & UVU Campus! HUGE Private Rooms with your own bathroom at just $299/mon! WOW! Available NOW! Wired for Google Fiber High Speed Internet! AC, Microwave, Dishwasher, Large Living Room, 4 Bathrooms! All remodeled and nice! Complex is huge and has almost 400 students, 2 YSA wards! At the Old Mill you will enjoy a year round tropical solarium w...
See More"
86,1 bedroom 1.5 bathroom apartment,"$1,100 · Orem, UT","Fantastic Halladay Living apartment located only minutes from Provo City Center, a 5 minute walk to the Provo Recreation center, Free Student Shuttle Bus to BYU Campus, and Smith grocery store. This apartment has a spacious open floor plan with high ceilings. The kitchen comes with a fridge, dishwasher, oven, microwave, disposal and a breakfast bar. The kitchen has a large amount of counter space and cupboards for plenty of storage. A washer and dryer is included in the apar...
See More"
87,2 bedroom apartment,"$1,080 · Orem, UT","Completely remodeled Halladay Living apartment. The kitchen has spacious granite counter tops with a large breakfast bar and plenty of cabinet storage. Along with stainless steel appliances, which include a dishwasher, microwave, oven, fridge, and disposal. The kitchen and family room create a great open space. The master bedroom and the 2nd bedroom closets have built-in closet organizers. There is a washer and dryer located just off of the hallway by the bedrooms. The front ...
See More"
88,One bed one bath apartment,"$940 · Orem, UT","Located in a quite neighborhood walking distance to the Provo City Temple, Provo City Center and minutes away from BYU. This Halladay Living apartment has been remodeled and has tile floors and oak cabinets in the kitchen. Along with an ample amount of cabinet storage and counter space.The kitchen comes with a dishwasher, gas stove, fridge, microwave and disposal. Located next to the kitchen the dining area has plenty of room for a dining table. The apartment has 1 bedroom ...
See More"
89,3 beds · 2 bath · Apartment,$250 / Month,"Women's shared contract at Campus Way from May- August.
FREE rent for May and I have discounted from the normal price of $395. Gym, study room, lounge.
I moved home for the summer and need to sell ASAP, open to negotiation on price.
1 block to UVX bus stop, next door to Provo City library, 2/3 blocks to BYU campus.
6 person apartment but only 3 people are living there currently- move in with friends if you want!"
90,4 Men’s Liberty Square Contracts (Fall),"$400 · Provo, UT","-Utilities are included in the $400
-Two shared rooms, two full bathrooms
-Split level, bedrooms upstairs, living room and kitchen downstairs...
See More"
91,2 beds · 1 bath · Apartment,$300 / Month,"Private Room For Rent
560 N 100 E, Provo, UT 84606-1701, United States"
92,4 beds · 3 bath · Townhouse,$430 / Month,"4 Beds 3 Baths - Townhouse
441 W 400 N, Provo, UT 84601-2749, United States"
93,3 Women's Housing Contracts,"$270 · Provo, UT","Hi Everyone! Me and my two roommates are looking to sell our contracts at Heather Cove! Contracts include 2 spots in a shared room, as well as one private room spot. It's just two blocks south of BYU campus, contracts include parking passes, and there are options to renew in the fall. Message me for photos and details if interested!"
94,4 beds · 2 bath · House,"$1,950 / Month","4 Beds 2 Baths - House
1453 S 605 E, Orem, UT 84097-7726, United States"
95,3 beds · 2 bath · Apartment/Condo,$295 / Month,**extremely reduced rate! i’ve loved living at liberty on eighth it’s SO close to campus with fun roommates! it is a shared room but the other girl moved out until august so it’s basically private! you can move in as soon as possible
96,2 bedroom,"$450 · Provo, UT","Hi everyone! I’m selling my fall contract at the riviera! It’s in the upgraded 2 bedroom apts. I’ve loved living here and this would have been my 3rd year living there, but due to job changes I’m having to move up north! The contract goes from Aug-Jan !"
97,4 WOMENS CONTRACTS!,"$350 · Provo, UT","Do you want to live with 3 of your besties? THIS PLACE IS PERFECT. It is close to BYU, SUPER nice amenities, and the management is the BEST. I am sad to be leaving. This place really is a steal.
-WASHER DRYER IN APARTMENT
-DISHWASHER...
See More"
98,ISO CONTRACT AT LIB SQUARE,"FREE · Provo, UT",Desperate to find a contract at liberty square for the fall! (Could move in as early as July 1st) Please let me know if you or someone you know has anything:) !!
99,3 beds · 2 bath · Apartment,$250 / Month,"!!!!!PRICE DROP!!!!!
****MAY IS PAID FOR****
2 women's contracts for spring/summer with the option to renew in the fall!! My roommate and I are both selling our contracts! $279/month utilities and internet included and the price is the same for the fall!! Dm me for more pictures or if you have questions!😊 ...
See More"
100,ISO 2 womens contracts,"FREE · Provo, UT",My friend and I are looking for spring and summer housing preferably under or close to 300. Also preferably with washer and dryer unit in the apartment/house/condo ☺️ thanks!
101,ISO,"$400 · Provo, UT","ISO BYU approved women’s housing for fall pending winter - would prefer for rent + utilities to total $400 or less, but a little over is fine. private room, and as close to byu as possible since I don’t have a car"
102,PRIVATE LUXURIOUS,"$450 · Orem, UT","BEAUTIFUL PRIVATE, SPACIOUS ROOM!!
Who’s looking for a place to live over the summer? Located in Provo, Utah right next to BYU!! It’s a wonderful place for such a great price and I wish I could stay but i’m transferring. I have 3 phenomenal roomates and everyone at the complex is so nice! Wonderful people, in house washer and dryer, Pool, basketball court, jacuzzi, wifi, tvs, great parking. Pls message for more details!!"
103,Alpine Village,"$400 · Provo, UT","🚨🚨🚨DISCOUNTED RENT🚨🚨🚨
Hi! I am selling my contract at Alpine Village
May rent is free!!!...








See More"
104,1 bed · 1 bath · Room Only,$1 / Month,"1 Bed 1 Bath - Room only
Brigham Young University, Provo, Utah 84602"
105,Womans Private Contract,"$290 · Provo, UT","Woman’s Private Contract, house!! $290 for summer - $400 for fall, South of BYU Campus, great location/older ward, great landlords, fully furnished with washer and dryer, faster internet, free parking, big house with two living spaces! DM me if you’re interested, selling as soon as possible!"
106,4 beds · 2 bath · Room Only,$299 / Month,"Private room with large shared bathroom available at Old Academy. The contract is for spring/summer (May - August). Discounted from $488 to $299, and the security deposit is now only $300!
Washer/dryer in unit, and we technically have the handicap apartment so our rooms are more spacious than other Old Academy apartments.
There are covered parking passes available for purchase, and the UVX bus stop is right outside the apartment. We are about two blocks away from both BYU ...
See More"
107,Woman's BYU/UVU Private bed and bathroom!,"$389 · Provo, UT","Private bedroom and private bathroom in a 4 person condo in Old Mill condominiums. One space available for 2020-2021 school year. Year round contracts. Full size bed! In unit storage, and on site laundry. Free parking pass! Patio looks out into the tropical solarium with a year round pool, sand beach volleyball court, and a gazebo! DM me or comment if interested or for more information."
108,1 bed · 1 bath · Apartment,$500 / Month,"Private room in shared basement apartment. Looking for male renter. All utilities and High Speed Internet included. Large kitchen area, living room, and plenty of storage space. One other roommate. 10 minutes from BYU and UVU. 5 minutes from Provo Canyon. Available now."
109,MENS $170 DISCOUNT SHARED ROOM,"$230 · Provo, UT",Helping someone sell their shared room for $170 off this summer! Usually $410 but offering $230 instead for summer! Great complex! Awesome roommates. Message me for details!!
110,MAY FREE WOMENS PRIVATE ROOM,"$375 · Provo, UT","Cute private room with free rent for MAY available ASAP! 3 contracts available if you want to live with friends!!! Message me for details and pricing!! Super good deal for a cute house! All renewable for fall! Great location, laundry in unit, free parking. Nothing better!"
111,Shared Room at the Branbury,"$396 · Provo, UT","One bed in the shared room available. I'm willing to pay for the parking pass as well as part of the monthly rent, message me for more details! Available ASAP, contract ends August 14th. May rent paid for. Perfect place for the spring/summer. Amenities include a year-round pool, hot tub, basketball and volleyball court, gym, game room, tanning bed, salon, and laundry on site. Tons of parking. Apartment shared with 3 other girls. There are 2 bathrooms so each shared bedroom gets their own. Message me if you are interested!"
112,PRIVATE ROOM house,"$390 · Provo, UT","Selling my private room in a house south of campus RENEWABLE FOR FALL! Available July or earlier if needed!
*large private room
*parking behind house
*south of BYU campus
*reduced price for summer- $290 ...

See More"
